ID,Nom,Categorie,Unite de matrice,"energie, calories (kcal)","Lipides, totaux (g)","Acides gras, satures (g)","Acides gras, mono-insatures (g)","Acides gras, poly-insatures (g)",Cholesterol (mg),"Glucides, disponibles (g)",Sucres (g),Amidon (g),Fibres alimentaires (g),Proteines (g),Sel (NaCl) (g),Alcool (g),Eau (g),"Activite de vitamine A, RE (µg-RE)","Activite de vitamine A, RAE (µg-RE)",Retinol (µg),Activite de betacarotene (µg-BCE),Betacarotene (µg),Vitamine B1 (thiamine) (mg),Vitamine B2 (riboflavine) (mg),Vitamine B6 (pyridoxine) (mg),Vitamine B12 (cobalamine) (µg),Niacine (mg),Folate (µg),Acide pantothenique (mg),Vitamine C (acide ascorbique) (mg),Vitamine D (calciferol) (µg),Activite de vitamine E (mg-ATE),Potassium (K) (mg),Sodium (Na) (mg),Chlore (Cl) (mg),Calcium (Ca) (mg),Magnesium (Mg) (mg),Phosphore (P) (mg),Fer (Fe) (mg),Iode (I) (µg),Zinc (Zn)  (mg),Selenium (Se) (µg)
210,"Saumon sauvage, cru",Poisson/Poissons de mer,par 100 g de portion comestible,182,"11,5","1,8","4,4","1,9",50,0,0,0,0,"19,7","0,2",0,65,0,0,0,0,0,"0,2","0,15","0,6","6,9",7,13,2,0,"8,4","1,3",480,63,n.i.,8,30,260,"0,4",53,"0,4",n.i.
13354,"Saumon, elevage, filet, a la vapeur (sans adjonction de graisse ni de sel)",Poisson/Poissons de mer,par 100 g de portion comestible,180,"11,7","1,9","4,3","2,2",83,0,0,0,0,"18,7","0,2",0,"69,6",10,10,10,0,0,"0,2","0,12","0,44","6,9","7,18","11,4","1,75",1,"7,3","1,23",410,61,n.i.,15,30,260,"0,4",49,"0,5",n.i.
552,Sbrinz,Lait et produits laitiers/Fromage a pâte dure,par 100 g de portion comestible,415,"33,2","19,9","7,8","1,5",100,0,0,0,0,28,"1,8",0,"31,9",298,288,278,118,118,"0,01","0,39","0,1","2,07","0,2",8,"0,44",tr.,"0,6","0,35",96,710,1090,1030,38,660,"0,3",40,"4,3",n.i.
787,Schublig de campagne,Produits carnes et charcuterie/Produits de charcuterie crus,par 100 g de portion comestible,524,"48,5","18,8",23,"4,4",86,"0,3","0,3",0,0,"21,3",4,"0,1","29,7",8,8,7,6,6,"0,53","0,24","0,33","3,29","5,96","2,6","0,56",71,0,"0,69",350,1590,2350,"4,8",23,270,"1,5","1,1","2,9",n.i.
792,Schublig de Saint-Gall,Produits carnes et charcuterie/Produits de charcuterie bouillis,par 100 g de portion comestible,237,"20,7","7,6","9,8","2,2",42,"0,2","0,2",0,0,"12,6","2,1",0,"66,5",4,4,4,3,3,"0,09","0,11","0,05","1,19","2,02","0,9","0,17","52,2",0,"0,32",76,850,1280,5,"8,4",140,"0,9","0,4","1,7",n.i.
762,Sel de cuisine avec iode,"Divers/Sel, epices et aromes",par 100 g de portion comestible,0,0,0,0,0,0,0,0,0,0,0,98,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39200,59800,10,1,8,"0,3",2500,"0,1","0,1"
10457,Sel de cuisine avec iode et fluor,"Divers/Sel, epices et aromes",par 100 g de portion comestible,0,0,0,0,0,0,0,0,0,0,0,100,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39900,59900,10,1,8,"0,3",2500,"0,1","0,1"
634,Sel de cuisine sans iode ni fluor,"Divers/Sel, epices et aromes",par 100 g de portion comestible,0,0,0,0,0,0,0,0,0,0,0,100,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39900,59900,10,1,8,"0,3",20,"0,1","0,1"
14088,"Sel, de l'Himalaya","Divers/Sel, epices et aromes",par 100 g de portion comestible,0,0,0,0,0,0,0,0,0,0,0,95,0,"3,6",0,0,0,0,0,0,0,0,0,0,0,0,n.i.,0,0,0,38000,58300,140,n.i.,tr.,24,0,0,n.i.
14087,"Sel, de mer, fleur de sel","Divers/Sel, epices et aromes",par 100 g de portion comestible,0,0,0,0,0,0,0,0,0,0,0,95,0,"3,8",0,0,0,0,0,0,0,0,0,0,0,0,n.i.,0,0,140,37900,57900,110,420,tr.,tr.,"3,8",0,n.i.
